Description,Winning Probability,Reasoning,Relevant Laws
I was hit while riding my bicycle on the road without a helmet.,Defendant Win: 70%,Cyclists are required to wear helmets for safety.,Section 143 - Mandatory helmet use for cyclists.
I was involved in an accident due to another drivers distracted behavior.,Plaintiff Win: 85%,Distracted driving is a leading cause of accidents.,Section 43 - Prohibition of distracted driving.
I was struck while crossing at an unmarked crosswalk,Defendant Win: 75%,Pedestrians must exercise caution at unmarked crossings.,Section 22 - Yield to pedestrians where applicable.
My vehicle was hit while I was parked in a no-parking zone.,Defendant Win: 90%,Parking in prohibited areas is a violation.,Section 57 - No parking in prohibited places.
I was hit by a car while trying to cross a busy intersection.,Plaintiff Win: 80%,Drivers must yield to pedestrians at busy intersections.,Section 22 - Obey pedestrian crossing rules.
I was involved in an accident due to a lack of proper signage on the road.,Plaintiff Win: 75%,Authorities must ensure roads are well-marked and signposted.,Section 75 - Adequate warning signs must be provided.
My car was struck while I was waiting for my turn at a traffic light.,Plaintiff Win: 85%,Drivers must maintain a safe distance when stopped.,Section 40 - Safe distancing must be observed.
I was struck by a car while walking my child to school.,Plaintiff Win: 90%,Drivers must be vigilant in school zones.,Section 22 - Special rules apply in school zones.
I was involved in an accident due to another drivers excessive speed.,Plaintiff Win: 85%,Speeding increases the likelihood of accidents.,Section 25 - Speed limits must be adhered to.
My vehicle was hit while parked during a festival.,Plaintiff Win: 70%,Drivers must exercise caution during crowded events.,Section 40 - Maintain safe distances.
I was hit while waiting for a taxi on the roadside.,Plaintiff Win: 75%,Drivers must be cautious around passengers waiting for taxis.,Section 43 - Drive with caution.
I was struck by a motorbike while crossing the street at night.,Plaintiff Win: 80%,Motorcyclists must be cautious and yield to pedestrians.,Section 80 - Compliance with traffic rules.
I was involved in an accident because a driver was tailgating.,Plaintiff Win: 85%,Tailgating is a violation of safe driving practices.,Section 40 - Maintain safe distances.
My vehicle was hit while parked at a shopping mall.,Plaintiff Win: 70%,Drivers must be cautious in parking lots.,Section 57 - Proper parking regulations must be followed.
I was hit while riding my skateboard on the road.,Defendant Win: 70%,Skateboarding on roads can be dangerous.,Section 80 - Compliance with traffic rules.
I was struck by a car that failed to yield while I was turning.,Plaintiff Win: 80%,Vehicles must yield to turning traffic.,Section 71 - Yield when turning.
I was involved in an accident due to another drivers reckless behavior.,Plaintiff Win: 90%,Reckless driving is a serious offense leading to accidents.,Section 43 - Prohibition of reckless driving.
My car was struck while I was parked at a rest area.,Plaintiff Win: 75%,Drivers must exercise caution around parked vehicles.,Section 40 - Maintain safe distances.
I was hit while crossing the street during a parade.,Plaintiff Win: 85%,Drivers must be cautious during public events.,Section 22 - Yield to pedestrians at events.
I was involved in an accident because another driver was under the influence.,Plaintiff Win: 95%,Driving under the influence is a serious offense.,Section 43(2) - Do not drive while intoxicated.
My vehicle was hit while parked near a construction site,Plaintiff Win: 70%,Drivers must be cautious near construction zones.,Section 75 - Warning signals must be given.
I was struck by a car that was driving the wrong way on a one-way street.,Plaintiff Win: 90%,Driving the wrong way is a serious violation.,Section 21 - No driving in the wrong direction.
I was involved in an accident because another driver was distracted by passengers.,Plaintiff Win: 85%,Drivers must remain focused on the road.,Section 43 - Prohibition of distracted driving.
My car was struck while I was parked in a designated motorcycle parking area.,Plaintiff Win: 80%,Designated parking areas must be respected.,Section 57 - Special parking regulations.
I was hit by a vehicle while crossing the road during a festival.,Plaintiff Win: 75%,Drivers must be cautious during crowded events.,Section 22 - Yield to pedestrians at events.
I was struck while riding my bicycle without proper reflective gear at night.,Defendant Win: 75%,Cyclists must be visible at night for safety.,Section 80 - Compliance with traffic rules.
My car was hit while parked in a designated parking spot,Plaintiff Win: 85%,Drivers must be cautious around parked vehicles,Section 57 - No parking in prohibited areas.
I hit a child crossing the road,Plaintiff Win: 90%,Vehicles must stop for children crossing,Section 22 - Vehicles must stop for pedestrians.
I was in an accident while changing lanes without signaling,Defendant Win: 75%,Changing lanes without signaling is considered reckless,Section 36 - Must signal when changing lanes.
My car was hit while driving in the right lane,Defendant Win: 80%,The right lane is for faster vehicles,Section 34 - No slow driving in fast lanes.
I parked in a no-parking zone and received a fine,Defendant Win: 90%,Parking in a prohibited area is a violation,Section 57 - No parking in prohibited areas.
I was hit while crossing a pedestrian bridge,Plaintiff Win: 85%,Vehicles must stop for pedestrians at crossings,Section 21 - Vehicles must stop for pedestrians.
I had an accident while using my phone while driving,Plaintiff Win: 90%,Using a phone while driving is illegal,Section 43(9) - No mobile phone use while driving.
My car was struck while parked at a shopping mall,Plaintiff Win: 80%,Drivers must be cautious when parking,Section 57 - No parking in prohibited areas.
I was in an accident while driving in a construction zone without warning signs,Plaintiff Win: 75%,Authorities must provide warning signs in construction areas,Section 75 - Warning signs must be provided.
I was hit while driving in a bus lane,Plaintiff Win: 80%,Vehicles must not enter bus lanes,Section 37 - No unauthorized entry into bus lanes.
My car was hit while waiting at a traffic light,Plaintiff Win: 85%,Drivers must stop for red lights,Section 22 - Must stop at traffic lights.
I was hit while making a legal U-turn,Plaintiff Win: 80%,Vehicles making legal U-turns have the right of way,Section 71 - Yield when making a U-turn.
I was struck by a motorcycle while parked in a no-parking zone,Plaintiff Win: 90%,Motorcycles must exercise caution around parked vehicles,Section 43 - No reckless driving.
I was involved in an accident while driving in a pedestrian zone,Defendant Win: 75%,Vehicles must not enter pedestrian zones,Section 80 - Pedestrians must follow traffic rules.
My car hit a pedestrian who was not using a crosswalk,Defendant Win: 70%,Pedestrians must use designated crosswalks,Section 105 - Pedestrians must use crosswalks.
I was hit by a car while backing out of a driveway,Defendant Win: 80%,Drivers must yield when backing out,Section 34 - Yield before reversing.
My car was hit while making a turn at a stop sign without stopping,Defendant Win: 85%,Must stop at stop signs,Section 22 - Obey traffic signs.
I was in an accident while driving under the influence,Defendant Win: 95%,Drunk driving is a serious offense,Section 43(2) - No driving while intoxicated.
My car was hit while parked at night without hazard lights,Defendant Win: 75%,Hazard lights must be activated when parked in dangerous areas,Section 61 - Warning lights must be used at night.
I was struck while changing lanes during poor weather,Defendant Win: 80%,Drivers must be cautious in bad weather,Section 11 - Use headlights in low visibility.
